,Zip_Code,Dwelling_Type,Nr_Bedrooms,Nr_Bathrooms,Approx_SQFT,Price_per_SqFt,Dwelling_Styles,Year_Built,Approx_Lot_SqFt,Pool,HOA_Fee,Land_Lease_Fee,Clubhouse_Rec_Room,Basement,RV_Gate,List_Price,Sold_Price,Building_Style,Gated_Community,Workout_Facility,Garage_Spaces,Carport_Spaces,Loan_Type,Payment_Type,HOA_Missing,Buyer_Concession,Seller_Concession,diff_List_Sold
31,85008,TH,2,2.5,1408,234.3,Attached,1966,1607,Community,,N,No,N,No,329900,329900,Missing,No,No,0.0,2.0,Conventional,Fixed,1,0.0,5000.0,0
32,85008,SF,3,2.0,1162,328.23,Detached,1950,8459,no_pool,,N,No,N,No,399900,381400,Missing,No,No,1.0,2.0,Cash,Fixed,1,0.0,0.0,-18500
33,85008,SF,4,1.5,1469,248.46,Detached,1951,7806,no_pool,,N,No,N,No,369900,365000,Missing,No,No,0.0,0.0,Conventional,Fixed,1,0.0,0.0,-4900
34,85008,AF,2,2.0,941,324.12,Attached,2002,903,Community,,N,No,N,No,305000,305000,Missing,No,No,1.0,0.0,Conventional,Fixed,1,0.0,3550.0,0
35,85008,SF,3,2.0,1641,307.74,Detached,1956,6578,no_pool,,N,No,N,No,514999,505000,Missing,No,No,1.0,1.0,Conventional,Other,1,0.0,15449.97,-9999
36,85008,AF,2,2.0,893,251.96,Stacked,1985,96,Community,,N,No,N,No,230000,225000,Missing,No,No,0.0,1.0,Conventional,Fixed,1,0.0,10350.0,-5000
37,85008,AF,2,2.0,893,223.96,Stacked,1985,852,Community,,N,No,N,No,215000,200000,Missing,No,No,0.0,1.0,Conventional,Balloon,1,0.0,0.0,-15000
38,85008,AF,2,2.0,1042,295.58,Stacked,1999,1111,Both,,N,No,N,No,319900,308000,Missing,No,No,0.0,1.0,Conventional,Fixed,1,0.0,3199.0,-11900
39,85008,SF,3,2.0,1535,309.44,Detached,1970,6765,Private,,N,No,N,No,487000,475000,Missing,No,No,0.0,2.0,Conventional,Fixed,1,0.0,9740.0,-12000
40,85008,SF,4,2.0,1421,357.14,Detached,1955,6660,Private,,N,No,N,No,515000,507500,Missing,No,No,0.0,0.0,Conventional,Missing,1,0.0,13150.0,-7500
41,85008,SF,4,2.0,1732,248.26,Detached,1950,8420,no_pool,,N,No,N,No,435000,430000,Missing,No,No,0.0,2.0,Cash,Missing,1,0.0,0.0,-5000
42,85008,SF,3,2.5,2051,304.73,Attached,2023,3250,Community,,N,No,N,No,625000,625000,Missing,No,No,2.0,0.0,Conventional,Missing,1,0.0,6250.0,0
43,85008,TH,2,2.0,1206,290.21,Attached,2005,1146,Community,,N,No,N,No,347000,350000,Missing,No,No,1.0,0.0,VA,Missing,1,0.0,1750.0,3000
44,85008,SF,3,1.0,1174,212.94,Detached,1928,7366,no_pool,,N,No,N,No,269000,250000,Missing,No,No,0.0,0.0,Cash,Missing,1,0.0,0.0,-19000
45,85008,SF,4,2.0,1354,180.94,Detached,1925,7362,no_pool,,N,No,N,No,289000,245000,Missing,No,No,0.0,0.0,Cash,Missing,1,0.0,0.0,-44000
46,85008,SF,4,2.0,1366,296.48,Detached,1950,7780,no_pool,,N,No,N,No,390000,405000,Missing,No,No,0.0,1.0,VA,Missing,1,0.0,0.0,15000
47,85008,AF,1,1.0,802,284.91,Stacked,1999,822,Community,,N,No,N,No,228500,228500,Missing,No,No,0.0,1.0,Other,Missing,1,0.0,0.0,0
48,85008,SF,5,1.0,1454,244.15,Detached,1948,9535,no_pool,,N,No,N,No,349900,355000,Missing,No,No,0.0,2.0,Cash,Missing,1,0.0,4000.0,5100
49,85009,SF,3,2.0,1080,314.81,Detached,1989,6347,no_pool,,N,No,N,Yes,344990,340000,Missing,No,No,0.0,1.0,FHA,Fixed,1,0.0,5000.0,-4990
50,85009,SF,2,1.0,874,406.17,Detached,1928,4996,no_pool,291.0,N,Yes,N,Yes,355000,355000,Clustered,Yes,Yes,0.0,1.0,Conventional,Fixed,0,0.0,0.0,0
51,85009,SF,3,2.0,1325,286.78,Detached,2007,6186,no_pool,291.0,N,Yes,N,Yes,379995,379995,High Rise,Yes,Yes,2.0,0.0,FHA,Fixed,0,0.0,11399.85,0
52,85009,TH,2,1.5,1036,140.93,Attached,1982,266,no_pool,764.67,N,Yes,N,Yes,155000,146000,High Rise,Yes,Yes,0.0,1.0,Other,Other,0,0.0,0.0,-9000
53,85009,SF,2,2.0,1061,306.31,Detached,1946,7248,no_pool,920.87,N,Yes,N,Yes,319000,325000,High Rise,Yes,Yes,0.0,1.0,FHA,Fixed,0,0.0,11400.0,6000
